names,length,width,height,noseLength,radius,tailLength,endRadius,dragForce,dragCoeff,refArea
uuv_0017,2641.8021128481505,842.6758408258476,897.7498094959401,2156.912329675078,256.6825020769711,1448.782893786467,36.144466562855925,71.694871,0.047520951,1.97398049e+00
uuv_0018,1699.429597765448,1055.7463284441003,1298.327229169914,1776.3775885270488,406.5152325867125,1615.1980002652165,85.2613928439389,10.023814,0.018739444,6.99868065e-01
uuv_0019,3903.568937956157,1454.4815492089976,586.5570565094575,2910.757605030242,210.16163871983258,3755.274279097565,22.064795458392272,14.866013,0.015831066,1.22863883e+00
uuv_0020,3675.301864207379,963.0088716296978,479.2319677392221,2311.969314473996,229.45852845257565,3511.432557525833,13.69696239451747,73.179618,0.11746493,8.15120476e-01
uuv_0021,2647.473688856776,1178.6876340181511,930.8429039483179,3066.7550617252296,444.0921927450108,2650.2449197541064,43.269150122981856,44.138917,0.13875174,4.16220176e-01
uuv_0022,3151.195629864805,730.9896171597973,1688.2996181149958,3018.3072291320477,213.97222898376023,2655.1925867354485,44.268670497168806,51.167967,0.072170851,9.27633089e-01
uuv_0023,1825.9934590703356,1823.2967622845479,1831.5876489843517,2262.6795736083154,504.59888873713885,2847.2230095971327,94.40971291046118,77.792573,0.085187844,1.19481426e+00
uuv_0024,2318.0464307188745,1992.5124331884326,1079.8473137974088,3341.659443381433,362.27380227097154,2935.4717727861134,15.167019582407173,30.885835,0.012949637,3.12062536e+00
uuv_0025,1108.8636763401141,1671.9448494745006,846.1810154230076,1322.5761017030163,394.67593690070936,1108.2113604046472,21.333782639523314,84.68913,0.054348519,2.03882452e+00
uuv_0026,3514.4262010307184,539.4875377984796,1316.6098254998858,1612.516786563475,215.14788653250085,1588.856195537844,25.35396618801184,20.183167,0.020617276,1.28084896e+00
uuv_0027,2631.999456704934,1517.2473900146222,1819.0686900545281,2500.5266188148807,435.88040819632124,3911.432283177497,18.127649110865782,50.47869,0.098505678,6.70481350e-01
uuv_0028,1955.0701995967277,1466.5755124297093,1401.362296888101,3833.305258076526,337.1170885476025,1870.1495833279155,46.32727783820344,28.351536,0.014285829,2.59663587e+00
uuv_0029,1623.7184970885442,1424.104087817546,1619.4050475737295,1804.2287148812334,569.6247351077818,3403.7937130043124,17.889833709008975,19.433798,0.012989561,1.95750599e+00
